
> otp-site-1@1.3.0 start
> node server.js

✅ Supabase Admin Initialized
✅ Gemini API Key found

🚀 OTP SECURE SERVER V1.3.1 ONLINE
🔒 Security Headers: ENABLED
📦 Compression: ENABLED
🔑 Auth System: JWT ENABLED
📡 Local: http://localhost:3000

[2026-03-09T00:55:17.342Z] GET / - IP: 127.0.0.1
[2026-03-09T00:55:17.390Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T00:55:17.394Z] GET /styles.css?v=1769637172 - IP: 127.0.0.1
[2026-03-09T00:55:17.396Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T00:55:17.431Z] GET /site-config.js?v=1.0 - IP: 127.0.0.1
[2026-03-09T00:55:17.435Z] GET /pay_v2.js?v=1.3.3 - IP: 127.0.0.1
[2026-03-09T00:55:17.438Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T00:55:17.439Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T00:55:17.441Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T00:55:17.442Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T00:55:17.453Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T00:55:18.275Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T00:55:20.911Z] HEAD /api/health - IP: 127.0.0.1
[2026-03-09T00:56:45.327Z] GET / - IP: 127.0.0.1
[2026-03-09T00:58:31.630Z] GET / - IP: 127.0.0.1
[2026-03-09T00:58:31.651Z] GET /styles.css?v=1773017892 - IP: 127.0.0.1
[2026-03-09T00:58:31.652Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T00:58:31.653Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T00:58:31.672Z] GET /site-config.js?v=1.0 - IP: 127.0.0.1
[2026-03-09T00:58:31.675Z] GET /pay_v2.js?v=1.3.3 - IP: 127.0.0.1
[2026-03-09T00:58:31.689Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T00:58:31.728Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T00:58:31.728Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T00:58:31.728Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T00:58:31.734Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T00:58:32.642Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T01:01:59.968Z] GET / - IP: 127.0.0.1
[2026-03-09T01:03:33.632Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T01:03:36.642Z] GET / - IP: 127.0.0.1
[2026-03-09T01:03:36.656Z] GET /styles.css?v=1773018092 - IP: 127.0.0.1
[2026-03-09T01:03:36.657Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T01:03:36.659Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T01:03:36.685Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:05:55.625Z] GET / - IP: 127.0.0.1
[2026-03-09T12:05:55.660Z] GET /styles.css?v=1773018092 - IP: 127.0.0.1
[2026-03-09T12:05:55.662Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:05:55.683Z] GET /site-config.js?v=1.0 - IP: 127.0.0.1
[2026-03-09T12:05:55.688Z] GET /pay_v2.js?v=1.3.3 - IP: 127.0.0.1
[2026-03-09T12:05:55.690Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:05:55.693Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:05:55.695Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:05:55.696Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:05:55.697Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:05:55.752Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:05:56.503Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:20:08.538Z] GET / - IP: 127.0.0.1
[2026-03-09T12:20:08.561Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:20:08.582Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:21:25.881Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T12:21:31.036Z] GET / - IP: 127.0.0.1
[2026-03-09T12:21:31.050Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:21:31.085Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:24:55.627Z] GET /portal-gate.html - IP: 127.0.0.1
[2026-03-09T12:24:55.776Z] GET /favicon.ico - IP: 127.0.0.1
[2026-03-09T12:25:01.197Z] GET /otp-terminal.html - IP: 127.0.0.1
[2026-03-09T12:25:01.207Z] GET /admin-styles.css?v=1773018092 - IP: 127.0.0.1
[2026-03-09T12:25:01.209Z] GET /site-config.js - IP: 127.0.0.1
[2026-03-09T12:25:01.278Z] GET /site-init.js?v=1773018092 - IP: 127.0.0.1
[2026-03-09T12:25:01.283Z] GET /admin-core.js?v=1773018092 - IP: 127.0.0.1
[2026-03-09T12:26:35.720Z] HEAD / - IP: 127.0.0.1
[2026-03-09T12:27:27.249Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T12:27:46.396Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T12:34:13.574Z] GET / - IP: 127.0.0.1
[2026-03-09T12:34:13.598Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:34:13.599Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:34:13.601Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:34:13.642Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:34:13.654Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:34:13.656Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
